[I 211220 22:48:47 server:155] Serving on http://127.0.0.1:35729
[I 211220 22:48:47 handlers:59] Start watching changes
[I 211220 22:48:47 handlers:61] Start detecting changes
[I 211220 22:49:05 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:26 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:49 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:50 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:50 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:50 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:50 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:51 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 22:59:51 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:00:05 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:03:30 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:06:41 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:07:09 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:07:10 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:10:29 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:13:07 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:13:48 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:13:54 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:14:49 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:07 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:08 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:08 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:09 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:09 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:09 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:09 handlers:132] Browser Connected: http://127.0.0.1:8000/
[I 211220 23:16:10 handlers:132] Browser Connected: http://127.0.0.1:8000/
